민방위대피시설명,소재지도로명주소,소재지지번주소,lat,lon,민방위대피시설면적,대피가능인원수
은평뉴타운 상림마을 14단지아파트(730동-742동),"서울특별시 은평구 진관4로 48-51 (진관동, 은평뉴타운상림마을)",서울특별시 은평구 진관동 10,37.6423834,126.9310561,10118,12264
신성수정아파트(전동 지하),"서울특별시 은평구 은평터널로7길 2 (신사동, 신성수정아파트)",서울특별시 은평구 신사동 358,37.5926726,126.9063284,6980,8460
증산두산위브아파트(전동 지하),"서울특별시 은평구 증산서길 79 (증산동, 두산위브)",서울특별시 은평구 증산동 255,37.5838974,126.9063152,3638,4409
삼부아파트(전동 지하),"서울특별시 은평구 증산로21길 11 (신사동, 신흥상가삼부아파트)",서울특별시 은평구 신사동 361,37.595667,126.913482,5080,6157
은평뉴타운 상림마을 3단지아파트(706동-708동),"서울특별시 은평구 진관4로 47 (진관동, 은평뉴타운상림마을)",서울특별시 은평구 진관동 13,37.6457945,126.9264701,6805,8248
리더스파크아파트(전동 지하),"서울특별시 은평구 연서로 1 (역촌동, 리더스파크)",서울특별시 은평구 역촌동 85-41,37.5989284,126.9154095,3168,3840
센타폴리스아파트(전동 지하),"서울특별시 은평구 연서로 9 (역촌동, 센타폴리스)",서울특별시 은평구 역촌동 85-12,37.5998561,126.9154719,4349,5272
북한산대창센시티아파트(전동 지하),"서울특별시 은평구 불광로 208 (불광동, 북한산대창센시티)",서울특별시 은평구 불광동 71-16,37.6252127,126.9294793,10767,13051
삼성아파트(전동 지하),"서울특별시 은평구 서오릉로 94 (대조동, 삼성타운아파트)",서울특별시 은평구 대조동 231,37.608995,126.9216444,8306.76,10068
디엠씨자이1단지아파트(전동 지하),"서울특별시 은평구 수색로 217 (수색동, 디엠씨 자이1단지(DMC 자이1))",서울특별시 은평구 수색동 75,37.5795991,126.8987214,13980,16945
시니어캐슬 클라시온,"서울특별시 은평구 은평로21길 34-5 (녹번동, 시니어캐슬클라시온)",서울특별시 은평구 녹번동 91-7,37.6032144,126.9310936,4880.21,5915
북한산힐스테이트 1차아파트(전동 지하),"서울특별시 은평구 불광로2길 33 (불광동, 북한산힐스테이트1차아파트)",서울특별시 은평구 불광동 635,37.6125348,126.9370924,15182,18402
인정병원,"서울특별시 은평구 응암로 164 (응암동, 인정병원)",서울특별시 은평구 응암동 603-60,37.5865456,126.9165867,450.36,545
은평의마을,"서울특별시 은평구 갈현로15길 27-1 (구산동, 은평의마을)",서울특별시 은평구 구산동 172-2,37.6084335,126.9069289,2194,2659
우방아파트(전동 지하),"서울특별시 은평구 증산로3길 26-1 (증산동, 우방아파트)",서울특별시 은평구 증산동 244,37.5818318,126.9030735,3415.57,4140
월드빌아파트(전동 지하),"서울특별시 은평구 증산로 333 (증산동, 증산동월드빌)",서울특별시 은평구 증산동 250,37.5862654,126.9115025,2387,2893
문영마운틴1차아파트(전동 지하),"서울특별시 은평구 증산로13길 44-5 (증산동, 문영마운틴1차아파트)",서울특별시 은평구 증산동 254,37.5876934,126.9076841,2215.93,2686
은평구청(본관),"서울특별시 은평구 은평로 195 (녹번동, 은평구종합청사)",서울특별시 은평구 녹번동 84,37.6024515,126.9293311,3608,4373
은평구립도서관,"서울특별시 은평구 통일로78가길 13-84 (불광동, 은평구립도서관)",서울특별시 은평구 불광동 59-32,37.6189368,126.9282542,1614,1956
은평구의회,"서울특별시 은평구 은평로 195 (녹번동, 은평구종합청사)",서울특별시 은평구 녹번동 84,37.6024515,126.9293311,2215,2685
신사씨티아파트(전동 지하),"서울특별시 은평구 가좌로 391 (신사동, 씨티아파트)",서울특별시 은평구 신사동 297,37.6003431,126.9041086,4467,5414
한신휴플러스아파트(전동 지하),"서울특별시 은평구 갈현로1길 31 (신사동, 신사동한신휴플러스)",서울특별시 은평구 신사동 365,37.5989037,126.9061919,3720,4509
성원아파트(전동 지하),"서울특별시 은평구 갈현로4길 26-5 (신사동, 신사성원아파트)",서울특별시 은평구 신사동 360,37.6004422,126.9133582,365,442
신사두산위브아파트(전동 지하),"서울특별시 은평구 갈현로1길 36 (신사동, 은평신사두산위브아파트)",서울특별시 은평구 신사동 370,37.5999172,126.9055859,2700,3272
청운제일아파트(전동 지하),"서울특별시 은평구 증산로 417 (신사동, 청운제일아파트)",서울특별시 은평구 신사동 362,37.5935772,126.9139404,715,866
홍익아파트(전동 지하),"서울특별시 은평구 가좌로 342 (신사동, 홍익아파트)",서울특별시 은평구 신사동 19-117,37.5975341,126.9079343,4000,4848
라이프씨티아파트(전동 지하),"서울특별시 은평구 갈현로3다길 15 (신사동, 라이프씨티아파트)",서울특별시 은평구 신사동 354,37.6023196,126.9053265,3629,4398
임탑아파트(전동 지하),"서울특별시 은평구 갈현로5길 25-11 (신사동, 임탑아파트)",서울특별시 은평구 신사동 364,37.6016263,126.9083932,1002,1214
경남아파트(전동 지하),"서울특별시 은평구 가좌로7나길 35 (응암동, 경남아파트)",서울특별시 은평구 응암동 714,37.5832231,126.9202806,1733,2101
남청파인힐아파트(전동 지하),"서울특별시 은평구 응암로 142-32 (응암동, 남청파인힐아파트)",서울특별시 은평구 응암동 742-3,37.583852,126.916045,1555,1885
은평뉴타운 구파발 9단지아파트(901동-915동),"서울특별시 은평구 진관3로 67 (진관동, 은평뉴타운구파발)",서울특별시 은평구 진관동 22,37.6414828,126.9200158,16366,19837
은평뉴타운 박석고개 1단지아파트(101동-111동),"서울특별시 은평구 진관1로 21-9 (진관동, 은평뉴타운박석고개)",서울특별시 은평구 진관동 101,37.6318017,126.920157,11408,13827
은평뉴타운 마고정 2단지아파트(323동-335동),"서울특별시 은평구 진관2로 60 (진관동, 은평뉴타운마고정)",서울특별시 은평구 진관동 105,37.6332831,126.9239174,7677,9305
은평뉴타운 우물골2단지C5블럭아파트(204동-208동),"서울특별시 은평구 진관2로 77 (진관동, 은평뉴타운우물골)",서울특별시 은평구 진관동 83,37.6342946,126.927747,8579,10398
은평뉴타운 우물골 2단지아파트(209동-222동),"서울특별시 은평구 진관2로 111-7 (진관동, 은평뉴타운우물골)",서울특별시 은평구 진관동 88,37.6363626,126.931633,8698,10543
은평뉴타운 제각말 5단지아파트(501동-513동),"서울특별시 은평구 연서로48길 12 (진관동, 은평뉴타운제각말)",서울특별시 은평구 진관동 154,37.6362597,126.9356033,10145,12297
은평뉴타운 폭포동 4단지아파트(401동-407동),"서울특별시 은평구 진관1로 77-8 (진관동, 은평뉴타운폭포동)",서울특별시 은평구 진관동 113,37.6337471,126.9136925,6120,7418
은평평화공원,서울특별시 은평구 서오릉로 지하 47 (녹번동),서울특별시 은평구 녹번동 153-1,37.6051491,126.9230408,4789,5805
힐스테이트1차 아파트(101동~115동),"서울특별시 은평구 백련산로2길 19 (응암동, 백련산힐스테이트1차)",서울특별시 은평구 응암동 759,37.590335,126.922862,4579,5550
힐스테이트2차 아파트(201동~212동),"서울특별시 은평구 백련산로 38 (응암동, 백련산 힐스테이트 2차)",서울특별시 은평구 응암동 760,37.590335,126.922862,7612,9227
힐스테이트3차 아파트(301동~311동),"서울특별시 은평구 백련산로 36 (응암동, 백련산 힐스테이트 3차)",서울특별시 은평구 응암동 761,37.588838,126.922725,4927,5972
북한산힐스테이트 3차아파트(전동 지하),"서울특별시 은평구 불광로 122-10 (불광동, 북한산현대힐스테이트3차아파트)",서울특별시 은평구 불광동 641,37.6183864,126.9349305,31914,38684
북한산힐스테이트 7차아파트(전동 지하),"서울특별시 은평구 통일로 796 (불광동, 북한산힐스테이트7차)",서울특별시 은평구 불광동 643,37.6410526,126.9218894,27620,33479
롯데몰 은평점,"서울특별시 은평구 통일로 1050 (진관동, 롯데몰은평점)",서울특별시 은평구 진관동 63,37.6375145,126.9177904,18060.99,21892
우리은행,"서울특별시 은평구 응암로 239 (응암동, 우리은행)",서울특별시 은평구 응암동 578-3,37.5933321,126.9175686,437.36,530
연신중학교 공영주차장,"서울특별시 은평구 연서로33길 16-32 (불광동, 연신중학교)",서울특별시 은평구 불광동 400-4,37.6234911,126.9247507,5093.36,6173
명남더블레스,"서울특별시 은평구 은평로 182-8 (응암동, 명남더블레스아파트)",서울특별시 은평구 응암동 93-6,37.6007938,126.9276606,1404,1702
금호아파트,"서울특별시 은평구 응암로 318 (응암동, 응암동금호아파트)",서울특별시 은평구 응암동 739,37.5991644,126.9221838,9554,11581
수색진흥아파트,"서울특별시 은평구 은평터널로 60 (수색동, 수색진흥엣세벨)",서울특별시 은평구 수색동 416-1,37.5853446,126.9002298,10630.13,12885
DMC 청구아파트,"서울특별시 은평구 증산로1길 26 (수색동, 수색동청구아파트)",서울특별시 은평구 수색동 413,37.5807166,126.9013508,6084.37,7375
은평뉴타운 구파발10단지 제1관리(1011동-1019동,"서울특별시 은평구 진관3로 15-45 (진관동, 은평뉴타운구파발)",서울특별시 은평구 진관동 27,37.6436957,126.9169685,16802,1603
은평뉴타운 구파발10단지 제2관리(1001동-1010동,"서울특별시 은평구 진관3로 15-35 (진관동, 은평뉴타운구파발)",서울특별시 은평구 진관동 28,37.6449119,126.9237451,16247,2030
은평뉴타운 상림마을8단지(810동-820동),"서울특별시 은평구 진관4로 17 (진관동, 은평뉴타운상림마을)",서울특별시 은평구 진관동 19,37.6441142,126.9227323,31318,998
은평뉴타운 상림마을 6단지(622동-629동),"서울특별시 은평구 진관4로 87 (진관동, 은평뉴타운상림마을)",서울특별시 은평구 진관동 5,37.6477461,126.9290494,20677,1819
응암에스에이치빌,"서울특별시 은평구 백련산로 146-30 (응암동, 응암SH-VILLE)",서울특별시 은평구 응암동 176-1,37.5979552,126.9268328,3022,3663
응암푸르지오,"서울특별시 은평구 백련산로 146 (응암동, 응암푸르지오)",서울특별시 은평구 응암동 176,37.5975529,126.9259915,12216,1722
